Pin,Pin Name,Bank,I/O Type
AW12,GTYP_LPD_REFCLKN0_102,102,GTYP
AU12,GTYP_LPD_REFCLKN1_102,102,GTYP
AW13,GTYP_LPD_REFCLKP0_102,102,GTYP
AU13,GTYP_LPD_REFCLKP1_102,102,GTYP
BE3,GTYP_LPD_RXN0_102,102,GTYP
BD1,GTYP_LPD_RXN1_102,102,GTYP
BC3,GTYP_LPD_RXN2_102,102,GTYP
BB1,GTYP_LPD_RXN3_102,102,GTYP
BE4,GTYP_LPD_RXP0_102,102,GTYP
BD2,GTYP_LPD_RXP1_102,102,GTYP
BC4,GTYP_LPD_RXP2_102,102,GTYP
BB2,GTYP_LPD_RXP3_102,102,GTYP
BE8,GTYP_LPD_TXN0_102,102,GTYP
BD6,GTYP_LPD_TXN1_102,102,GTYP
BC8,GTYP_LPD_TXN2_102,102,GTYP
BB6,GTYP_LPD_TXN3_102,102,GTYP
BE9,GTYP_LPD_TXP0_102,102,GTYP
BD7,GTYP_LPD_TXP1_102,102,GTYP
BC9,GTYP_LPD_TXP2_102,102,GTYP
BB7,GTYP_LPD_TXP3_102,102,GTYP
AT10,GTYP_LPD_REFCLKN0_103,103,GTYP
AR12,GTYP_LPD_REFCLKN1_103,103,GTYP
AT11,GTYP_LPD_REFCLKP0_103,103,GTYP
AR13,GTYP_LPD_REFCLKP1_103,103,GTYP
BA3,GTYP_LPD_RXN0_103,103,GTYP
AY1,GTYP_LPD_RXN1_103,103,GTYP
AY5,GTYP_LPD_RXN2_103,103,GTYP
AW3,GTYP_LPD_RXN3_103,103,GTYP
BA4,GTYP_LPD_RXP0_103,103,GTYP
AY2,GTYP_LPD_RXP1_103,103,GTYP
AY6,GTYP_LPD_RXP2_103,103,GTYP
AW4,GTYP_LPD_RXP3_103,103,GTYP
BB10,GTYP_LPD_TXN0_103,103,GTYP
BA8,GTYP_LPD_TXN1_103,103,GTYP
AY10,GTYP_LPD_TXN2_103,103,GTYP
AW8,GTYP_LPD_TXN3_103,103,GTYP
BB11,GTYP_LPD_TXP0_103,103,GTYP
BA9,GTYP_LPD_TXP1_103,103,GTYP
AY11,GTYP_LPD_TXP2_103,103,GTYP
AW9,GTYP_LPD_TXP3_103,103,GTYP
AP10,GTYP_LPD_REFCLKN0_104,104,GTYP
AK10,GTYP_LPD_REFCLKN1_104,104,GTYP
AP11,GTYP_LPD_REFCLKP0_104,104,GTYP
AK11,GTYP_LPD_REFCLKP1_104,104,GTYP
AU3,GTYP_LPD_RXN0_104,104,GTYP
AT1,GTYP_LPD_RXN1_104,104,GTYP
AR3,GTYP_LPD_RXN2_104,104,GTYP
AP1,GTYP_LPD_RXN3_104,104,GTYP
AU4,GTYP_LPD_RXP0_104,104,GTYP
AT2,GTYP_LPD_RXP1_104,104,GTYP
AR4,GTYP_LPD_RXP2_104,104,GTYP
AP2,GTYP_LPD_RXP3_104,104,GTYP
AU8,GTYP_LPD_TXN0_104,104,GTYP
AT6,GTYP_LPD_TXN1_104,104,GTYP
AR8,GTYP_LPD_TXN2_104,104,GTYP
AP6,GTYP_LPD_TXN3_104,104,GTYP
AU9,GTYP_LPD_TXP0_104,104,GTYP
AT7,GTYP_LPD_TXP1_104,104,GTYP
AR9,GTYP_LPD_TXP2_104,104,GTYP
AP7,GTYP_LPD_TXP3_104,104,GTYP
AV10,GTYP_LPD_AVTTRCAL_RLC,105,NA
AJ12,GTYP_LPD_REFCLKN0_105,105,GTYP
AH10,GTYP_LPD_REFCLKN1_105,105,GTYP
AJ13,GTYP_LPD_REFCLKP0_105,105,GTYP
AH11,GTYP_LPD_REFCLKP1_105,105,GTYP
AV11,GTYP_LPD_RREF_RLC,105,GTYP
AN3,GTYP_LPD_RXN0_105,105,GTYP
AM1,GTYP_LPD_RXN1_105,105,GTYP
AL3,GTYP_LPD_RXN2_105,105,GTYP
AK1,GTYP_LPD_RXN3_105,105,GTYP
AN4,GTYP_LPD_RXP0_105,105,GTYP
AM2,GTYP_LPD_RXP1_105,105,GTYP
AL4,GTYP_LPD_RXP2_105,105,GTYP
AK2,GTYP_LPD_RXP3_105,105,GTYP
AN8,GTYP_LPD_TXN0_105,105,GTYP
AM6,GTYP_LPD_TXN1_105,105,GTYP
AL8,GTYP_LPD_TXN2_105,105,GTYP
AK6,GTYP_LPD_TXN3_105,105,GTYP
AN9,GTYP_LPD_TXP0_105,105,GTYP
AM7,GTYP_LPD_TXP1_105,105,GTYP
AL9,GTYP_LPD_TXP2_105,105,GTYP
AK7,GTYP_LPD_TXP3_105,105,GTYP
AH13,GTYP_AVCCAUX_RC,NA,NA
AK13,GTYP_AVCCAUX_RC,NA,NA
AL13,GTYP_AVCC_RC,NA,NA
AM13,GTYP_AVCC_RC,NA,NA
AM10,GTYP_AVTTRCAL_RC,106,NA
AJ11,GTYP_AVTT_RC,NA,NA
AL11,GTYP_AVTT_RC,NA,NA
AF10,GTYP_REFCLKN0_106,106,GTYP
AE12,GTYP_REFCLKN1_106,106,GTYP
AF11,GTYP_REFCLKP0_106,106,GTYP
AE13,GTYP_REFCLKP1_106,106,GTYP
AM11,GTYP_RREF_RC,106,GTYP
AJ3,GTYP_RXN0_106,106,GTYP
AH1,GTYP_RXN1_106,106,GTYP
AG3,GTYP_RXN2_106,106,GTYP
AF1,GTYP_RXN3_106,106,GTYP
AJ4,GTYP_RXP0_106,106,GTYP
AH2,GTYP_RXP1_106,106,GTYP
AG4,GTYP_RXP2_106,106,GTYP
AF2,GTYP_RXP3_106,106,GTYP
AJ8,GTYP_TXN0_106,106,GTYP
AH6,GTYP_TXN1_106,106,GTYP
AG8,GTYP_TXN2_106,106,GTYP
AF6,GTYP_TXN3_106,106,GTYP
AJ9,GTYP_TXP0_106,106,GTYP
AH7,GTYP_TXP1_106,106,GTYP
AG9,GTYP_TXP2_106,106,GTYP
AF7,GTYP_TXP3_106,106,GTYP
T10,GTYP_REFCLKN0_109,109,GTYP
P10,GTYP_REFCLKN1_109,109,GTYP
T11,GTYP_REFCLKP0_109,109,GTYP
P11,GTYP_REFCLKP1_109,109,GTYP
A6,GTYP_RXN0_109,109,GTYP
A8,GTYP_RXN1_109,109,GTYP
A10,GTYP_RXN2_109,109,GTYP
A12,GTYP_RXN3_109,109,GTYP
B6,GTYP_RXP0_109,109,GTYP
B8,GTYP_RXP1_109,109,GTYP
B10,GTYP_RXP2_109,109,GTYP
B12,GTYP_RXP3_109,109,GTYP
D9,GTYP_TXN0_109,109,GTYP
F10,GTYP_TXN1_109,109,GTYP
D11,GTYP_TXN2_109,109,GTYP
F12,GTYP_TXN3_109,109,GTYP
E9,GTYP_TXP0_109,109,GTYP
G10,GTYP_TXP1_109,109,GTYP
E11,GTYP_TXP2_109,109,GTYP
G12,GTYP_TXP3_109,109,GTYP
R12,GTYP_AVTTRCAL_RN,110,NA
N12,GTYP_REFCLKN0_110,110,GTYP
M10,GTYP_REFCLKN1_110,110,GTYP
N13,GTYP_REFCLKP0_110,110,GTYP
M11,GTYP_REFCLKP1_110,110,GTYP
R13,GTYP_RREF_RN,110,GTYP
C15,GTYP_RXN0_110,110,GTYP
A14,GTYP_RXN1_110,110,GTYP
C17,GTYP_RXN2_110,110,GTYP
A16,GTYP_RXN3_110,110,GTYP
D15,GTYP_RXP0_110,110,GTYP
B14,GTYP_RXP1_110,110,GTYP
D17,GTYP_RXP2_110,110,GTYP
B16,GTYP_RXP3_110,110,GTYP
D13,GTYP_TXN0_110,110,GTYP
F14,GTYP_TXN1_110,110,GTYP
F16,GTYP_TXN2_110,110,GTYP
F18,GTYP_TXN3_110,110,GTYP
E13,GTYP_TXP0_110,110,GTYP
G14,GTYP_TXP1_110,110,GTYP
G16,GTYP_TXP2_110,110,GTYP
G18,GTYP_TXP3_110,110,GTYP
L12,GTYP_REFCLKN0_111,111,GTYP
K10,GTYP_REFCLKN1_111,111,GTYP
L13,GTYP_REFCLKP0_111,111,GTYP
K11,GTYP_REFCLKP1_111,111,GTYP
A18,GTYP_RXN0_111,111,GTYP
A20,GTYP_RXN1_111,111,GTYP
A22,GTYP_RXN2_111,111,GTYP
A24,GTYP_RXN3_111,111,GTYP
B18,GTYP_RXP0_111,111,GTYP
B20,GTYP_RXP1_111,111,GTYP
B22,GTYP_RXP2_111,111,GTYP
B24,GTYP_RXP3_111,111,GTYP
D19,GTYP_TXN0_111,111,GTYP
F20,GTYP_TXN1_111,111,GTYP
D21,GTYP_TXN2_111,111,GTYP
F22,GTYP_TXN3_111,111,GTYP
E19,GTYP_TXP0_111,111,GTYP
G20,GTYP_TXP1_111,111,GTYP
E21,GTYP_TXP2_111,111,GTYP
G22,GTYP_TXP3_111,111,GTYP
H13,GTYP_REFCLKN0_112,112,GTYP
H15,GTYP_REFCLKN1_112,112,GTYP
J13,GTYP_REFCLKP0_112,112,GTYP
J15,GTYP_REFCLKP1_112,112,GTYP
C25,GTYP_RXN0_112,112,GTYP
A26,GTYP_RXN1_112,112,GTYP
C27,GTYP_RXN2_112,112,GTYP
A28,GTYP_RXN3_112,112,GTYP
D25,GTYP_RXP0_112,112,GTYP
B26,GTYP_RXP1_112,112,GTYP
D27,GTYP_RXP2_112,112,GTYP
B28,GTYP_RXP3_112,112,GTYP
D23,GTYP_TXN0_112,112,GTYP
F24,GTYP_TXN1_112,112,GTYP
F26,GTYP_TXN2_112,112,GTYP
F28,GTYP_TXN3_112,112,GTYP
E23,GTYP_TXP0_112,112,GTYP
G24,GTYP_TXP1_112,112,GTYP
G26,GTYP_TXP2_112,112,GTYP
G28,GTYP_TXP3_112,112,GTYP
BE45,GTYP_REFCLKN0_200,200,GTYP
BD47,GTYP_REFCLKN1_200,200,GTYP
BE44,GTYP_REFCLKP0_200,200,GTYP
BD46,GTYP_REFCLKP1_200,200,GTYP
BT56,GTYP_RXN0_200,200,GTYP
BP56,GTYP_RXN1_200,200,GTYP
BN58,GTYP_RXN2_200,200,GTYP
BL58,GTYP_RXN3_200,200,GTYP
BT55,GTYP_RXP0_200,200,GTYP
BP55,GTYP_RXP1_200,200,GTYP
BN57,GTYP_RXP2_200,200,GTYP
BL57,GTYP_RXP3_200,200,GTYP
BV51,GTYP_TXN0_200,200,GTYP
BU53,GTYP_TXN1_200,200,GTYP
BT51,GTYP_TXN2_200,200,GTYP
BR53,GTYP_TXN3_200,200,GTYP
BV50,GTYP_TXP0_200,200,GTYP
BU52,GTYP_TXP1_200,200,GTYP
BT50,GTYP_TXP2_200,200,GTYP
BR52,GTYP_TXP3_200,200,GTYP
BC45,GTYP_AVTTRCAL_LS,201,NA
BB47,GTYP_REFCLKN0_201,201,GTYP
BA45,GTYP_REFCLKN1_201,201,GTYP
BB46,GTYP_REFCLKP0_201,201,GTYP
BA44,GTYP_REFCLKP1_201,201,GTYP
BC44,GTYP_RREF_LS,201,GTYP
BK56,GTYP_RXN0_201,201,GTYP
BJ58,GTYP_RXN1_201,201,GTYP
BH56,GTYP_RXN2_201,201,GTYP
BG58,GTYP_RXN3_201,201,GTYP
BK55,GTYP_RXP0_201,201,GTYP
BJ57,GTYP_RXP1_201,201,GTYP
BH55,GTYP_RXP2_201,201,GTYP
BG57,GTYP_RXP3_201,201,GTYP
BM55,GTYP_TXN0_201,201,GTYP
BN53,GTYP_TXN1_201,201,GTYP
BL53,GTYP_TXN2_201,201,GTYP
BJ53,GTYP_TXN3_201,201,GTYP
BM54,GTYP_TXP0_201,201,GTYP
BN52,GTYP_TXP1_201,201,GTYP
BL52,GTYP_TXP2_201,201,GTYP
BJ52,GTYP_TXP3_201,201,GTYP
AW45,GTM_REFCLKN0_202,202,GTM
AV47,GTM_REFCLKN1_202,202,GTM
AW44,GTM_REFCLKP0_202,202,GTM
AV46,GTM_REFCLKP1_202,202,GTM
BE58,GTM_RXN0_202,,202
BD56,GTM_RXN1_202,,202
BC58,GTM_RXN2_202,,202
BC54,GTM_RXN3_202,,202
BE57,GTM_RXP0_202,,202
BD55,GTM_RXP1_202,,202
BC57,GTM_RXP2_202,,202
BC53,GTM_RXP3_202,,202
BG53,GTM_TXN0_202,,202
BF55,GTM_TXN1_202,,202
BE53,GTM_TXN2_202,,202
BD51,GTM_TXN3_202,,202
BG52,GTM_TXP0_202,,202
BF54,GTM_TXP1_202,,202
BE52,GTM_TXP2_202,,202
BD50,GTM_TXP3_202,,202
AY47,GTM_AVTTRCAL_LLC,203,NA
AU45,GTM_REFCLKN0_203,203,GTM
AT47,GTM_REFCLKN1_203,203,GTM
AU44,GTM_REFCLKP0_203,203,GTM
AT46,GTM_REFCLKP1_203,203,GTM
AY46,GTM_RREF_LLC,203,GTM
BB56,GTM_RXN0_203,,203
BA58,GTM_RXN1_203,,203
AY56,GTM_RXN2_203,,203
AW58,GTM_RXN3_203,,203
BB55,GTM_RXP0_203,,203
BA57,GTM_RXP1_203,,203
AY55,GTM_RXP2_203,,203
AW57,GTM_RXP3_203,,203
BB51,GTM_TXN0_203,,203
BA53,GTM_TXN1_203,,203
AY51,GTM_TXN2_203,,203
AW53,GTM_TXN3_203,,203
BB50,GTM_TXP0_203,,203
BA52,GTM_TXP1_203,,203
AY50,GTM_TXP2_203,,203
AW52,GTM_TXP3_203,,203
AR45,GTM_REFCLKN0_204,204,GTM
AP47,GTM_REFCLKN1_204,204,GTM
AR44,GTM_REFCLKP0_204,204,GTM
AP46,GTM_REFCLKP1_204,204,GTM
AV56,GTM_RXN0_204,,204
AU58,GTM_RXN1_204,,204
AT56,GTM_RXN2_204,,204
AR58,GTM_RXN3_204,,204
AV55,GTM_RXP0_204,,204
AU57,GTM_RXP1_204,,204
AT55,GTM_RXP2_204,,204
AR57,GTM_RXP3_204,,204
AV51,GTM_TXN0_204,,204
AU53,GTM_TXN1_204,,204
AT51,GTM_TXN2_204,,204
AR53,GTM_TXN3_204,,204
AV50,GTM_TXP0_204,,204
AU52,GTM_TXP1_204,,204
AT50,GTM_TXP2_204,,204
AR52,GTM_TXP3_204,,204
AN45,GTM_REFCLKN0_205,205,GTM
AM47,GTM_REFCLKN1_205,205,GTM
AN44,GTM_REFCLKP0_205,205,GTM
AM46,GTM_REFCLKP1_205,205,GTM
AP56,GTM_RXN0_205,,205
AN58,GTM_RXN1_205,,205
AM56,GTM_RXN2_205,,205
AL58,GTM_RXN3_205,,205
AP55,GTM_RXP0_205,,205
AN57,GTM_RXP1_205,,205
AM55,GTM_RXP2_205,,205
AL57,GTM_RXP3_205,,205
AP51,GTM_TXN0_205,,205
AN53,GTM_TXN1_205,,205
AM51,GTM_TXN2_205,,205
AL53,GTM_TXN3_205,,205
AP50,GTM_TXP0_205,,205
AN52,GTM_TXP1_205,,205
AM50,GTM_TXP2_205,,205
AL52,GTM_TXP3_205,,205
AK47,GTM_REFCLKN0_206,206,GTM
AJ45,GTM_REFCLKN1_206,206,GTM
AK46,GTM_REFCLKP0_206,206,GTM
AJ44,GTM_REFCLKP1_206,206,GTM
AK56,GTM_RXN0_206,,206
AJ58,GTM_RXN1_206,,206
AH56,GTM_RXN2_206,,206
AG58,GTM_RXN3_206,,206
AK55,GTM_RXP0_206,,206
AJ57,GTM_RXP1_206,,206
AH55,GTM_RXP2_206,,206
AG57,GTM_RXP3_206,,206
AK51,GTM_TXN0_206,,206
AJ53,GTM_TXN1_206,,206
AH51,GTM_TXN2_206,,206
AG53,GTM_TXN3_206,,206
AK50,GTM_TXP0_206,,206
AJ52,GTM_TXP1_206,,206
AH50,GTM_TXP2_206,,206
AG52,GTM_TXP3_206,,206
AB47,GTYP_REFCLKN0_207,207,GTYP
AA45,GTYP_REFCLKN1_207,207,GTYP
AB46,GTYP_REFCLKP0_207,207,GTYP
AA44,GTYP_REFCLKP1_207,207,GTYP
L58,GTYP_RXN0_207,207,GTYP
J58,GTYP_RXN1_207,207,GTYP
E58,GTYP_RXN2_207,207,GTYP
G58,GTYP_RXN3_207,207,GTYP
L57,GTYP_RXP0_207,207,GTYP
J57,GTYP_RXP1_207,207,GTYP
E57,GTYP_RXP2_207,207,GTYP
G57,GTYP_RXP3_207,207,GTYP
M55,GTYP_TXN0_207,207,GTYP
L53,GTYP_TXN1_207,207,GTYP
K55,GTYP_TXN2_207,207,GTYP
J53,GTYP_TXN3_207,207,GTYP
M54,GTYP_TXP0_207,207,GTYP
L52,GTYP_TXP1_207,207,GTYP
K54,GTYP_TXP2_207,207,GTYP
J52,GTYP_TXP3_207,207,GTYP
W45,GTYP_AVTTRCAL_LN,208,NA
Y47,GTYP_REFCLKN0_208,208,GTYP
V49,GTYP_REFCLKN1_208,208,GTYP
Y46,GTYP_REFCLKP0_208,208,GTYP
V48,GTYP_REFCLKP1_208,208,GTYP
W44,GTYP_RREF_LN,208,GTYP
E55,GTYP_RXN0_208,208,GTYP
C56,GTYP_RXN1_208,208,GTYP
C54,GTYP_RXN2_208,208,GTYP
A53,GTYP_RXN3_208,208,GTYP
F55,GTYP_RXP0_208,208,GTYP
D56,GTYP_RXP1_208,208,GTYP
D54,GTYP_RXP2_208,208,GTYP
B53,GTYP_RXP3_208,208,GTYP
H55,GTYP_TXN0_208,208,GTYP
F53,GTYP_TXN1_208,208,GTYP
D52,GTYP_TXN2_208,208,GTYP
F51,GTYP_TXN3_208,208,GTYP
H54,GTYP_TXP0_208,208,GTYP
G53,GTYP_TXP1_208,208,GTYP
E52,GTYP_TXP2_208,208,GTYP
G51,GTYP_TXP3_208,208,GTYP
U47,GTYP_REFCLKN0_209,209,GTYP
T49,GTYP_REFCLKN1_209,209,GTYP
U46,GTYP_REFCLKP0_209,209,GTYP
T48,GTYP_REFCLKP1_209,209,GTYP
A51,GTYP_RXN0_209,209,GTYP
A49,GTYP_RXN1_209,209,GTYP
A47,GTYP_RXN2_209,209,GTYP
A45,GTYP_RXN3_209,209,GTYP
B51,GTYP_RXP0_209,209,GTYP
B49,GTYP_RXP1_209,209,GTYP
B47,GTYP_RXP2_209,209,GTYP
B45,GTYP_RXP3_209,209,GTYP
D50,GTYP_TXN0_209,209,GTYP
F49,GTYP_TXN1_209,209,GTYP
D48,GTYP_TXN2_209,209,GTYP
F47,GTYP_TXN3_209,209,GTYP
E50,GTYP_TXP0_209,209,GTYP
G49,GTYP_TXP1_209,209,GTYP
E48,GTYP_TXP2_209,209,GTYP
G47,GTYP_TXP3_209,209,GTYP
R47,GTYP_REFCLKN0_210,210,GTYP
P49,GTYP_REFCLKN1_210,210,GTYP
R46,GTYP_REFCLKP0_210,210,GTYP
P48,GTYP_REFCLKP1_210,210,GTYP
A43,GTYP_RXN0_210,210,GTYP
C42,GTYP_RXN1_210,210,GTYP
A41,GTYP_RXN2_210,210,GTYP
C40,GTYP_RXN3_210,210,GTYP
B43,GTYP_RXP0_210,210,GTYP
D42,GTYP_RXP1_210,210,GTYP
B41,GTYP_RXP2_210,210,GTYP
D40,GTYP_RXP3_210,210,GTYP
F45,GTYP_TXN0_210,210,GTYP
D46,GTYP_TXN1_210,210,GTYP
F43,GTYP_TXN2_210,210,GTYP
D44,GTYP_TXN3_210,210,GTYP
G45,GTYP_TXP0_210,210,GTYP
E46,GTYP_TXP1_210,210,GTYP
G43,GTYP_TXP2_210,210,GTYP
E44,GTYP_TXP3_210,210,GTYP
N47,GTYP_REFCLKN0_211,211,GTYP
M49,GTYP_REFCLKN1_211,211,GTYP
N46,GTYP_REFCLKP0_211,211,GTYP
M48,GTYP_REFCLKP1_211,211,GTYP
A39,GTYP_RXN0_211,211,GTYP
C38,GTYP_RXN1_211,211,GTYP
A37,GTYP_RXN2_211,211,GTYP
A35,GTYP_RXN3_211,211,GTYP
B39,GTYP_RXP0_211,211,GTYP
D38,GTYP_RXP1_211,211,GTYP
B37,GTYP_RXP2_211,211,GTYP
B35,GTYP_RXP3_211,211,GTYP
F41,GTYP_TXN0_211,211,GTYP
F39,GTYP_TXN1_211,211,GTYP
F37,GTYP_TXN2_211,211,GTYP
D36,GTYP_TXN3_211,211,GTYP
G41,GTYP_TXP0_211,211,GTYP
G39,GTYP_TXP1_211,211,GTYP
G37,GTYP_TXP2_211,211,GTYP
E36,GTYP_TXP3_211,211,GTYP
L47,GTYP_REFCLKN0_212,212,GTYP
K49,GTYP_REFCLKN1_212,212,GTYP
L46,GTYP_REFCLKP0_212,212,GTYP
K48,GTYP_REFCLKP1_212,212,GTYP
A33,GTYP_RXN0_212,212,GTYP
C32,GTYP_RXN1_212,212,GTYP
A31,GTYP_RXN2_212,212,GTYP
C30,GTYP_RXN3_212,212,GTYP
B33,GTYP_RXP0_212,212,GTYP
D32,GTYP_RXP1_212,212,GTYP
B31,GTYP_RXP2_212,212,GTYP
D30,GTYP_RXP3_212,212,GTYP
F35,GTYP_TXN0_212,212,GTYP
D34,GTYP_TXN1_212,212,GTYP
F33,GTYP_TXN2_212,212,GTYP
F31,GTYP_TXN3_212,212,GTYP
G35,GTYP_TXP0_212,212,GTYP
E34,GTYP_TXP1_212,212,GTYP
G33,GTYP_TXP2_212,212,GTYP
G31,GTYP_TXP3_212,212,GTYP
M22,PMC_MIO0_500,500,PMCMIO
M19,PMC_MIO10_500,500,PMCMIO
L19,PMC_MIO11_500,500,PMCMIO
K19,PMC_MIO12_500,500,PMCMIO
J18,PMC_MIO13_500,500,PMCMIO
K18,PMC_MIO14_500,500,PMCMIO
M18,PMC_MIO15_500,500,PMCMIO
N18,PMC_MIO16_500,500,PMCMIO
M17,PMC_MIO17_500,500,PMCMIO
L17,PMC_MIO18_500,500,PMCMIO
K17,PMC_MIO19_500,500,PMCMIO
N21,PMC_MIO1_500,500,PMCMIO
J17,PMC_MIO20_500,500,PMCMIO
L16,PMC_MIO21_500,500,PMCMIO
M16,PMC_MIO22_500,500,PMCMIO
N16,PMC_MIO23_500,500,PMCMIO
N15,PMC_MIO24_500,500,PMCMIO
L15,PMC_MIO25_500,500,PMCMIO
M21,PMC_MIO2_500,500,PMCMIO
L21,PMC_MIO3_500,500,PMCMIO
J21,PMC_MIO4_500,500,PMCMIO
J20,PMC_MIO5_500,500,PMCMIO
K20,PMC_MIO6_500,500,PMCMIO
L20,PMC_MIO7_500,500,PMCMIO
N20,PMC_MIO8_500,500,PMCMIO
N19,PMC_MIO9_500,500,PMCMIO
AT16,VCCO_500,500,NA
AU16,VCCO_500,500,NA
AR17,VCCO_501,501,NA
AT17,VCCO_501,501,NA
AP16,VCCO_502,502,NA
AR15,VCCO_502,502,NA
AY15,VCC_PSFP,NA,NA
AY16,VCC_PSFP,NA,NA
BA15,VCC_PSFP,NA,NA
